"source","target"
"Today","Aujourd’hui"
"Tomorrow","Demain"
"Monday","Lundi"
"Tuesday","Mardi"
"Wednesday","Mercredi"
"Thursday","Jeudi"
"Friday","Vendredi"
"Saturday","Samedi"
"Sunday","Dimanche"
"o_clock","h"
"Hour to send","Heure d'envoi"
"Copied to clipboard","Copié dans le presse-papiers"
"Show","Afficher"
"Copy","Copier"
"to clipboard","dans le presse-papiers"
"Add another","Ajouter un autre"
"number","nombre"
"remaining","restant"
"Remove","Retirer"
"folder","dossier"
"folders","dossiers"
"All folders","Tous les dossiers"
"Choose folders","Choisir les dossiers"
"All team members","Tous les membres de l'équipe"
"Choose team members","Choisir des membres de l'équipe"
"Cancel upload","Annuler le téléversement"
"Choose arbitrary things",""
"Send now","Envoyer maintenant"
"Schedule","Programmer"
"<i>Notify</i>","<i>Notification</i>"
"Alpha","Alpha"
"Product features","Caractéristiques du produit"
"Contact us","Nous joindre"
"Terms of use","Conditions d’utilisation"
"Switch service","Changer de service"
"Back to","Retour à"
"API key","Clé API"
"API data:","Données de l’API :"
"failed","échec"
"No failures","Aucun échec"
"Choose file","Choisir un fichier"
"or","ou"
"Submit","Soumettre"
"Services","Services"
"message","message"
"messages","messages"
"text message","message texte"
"text-messages","messages texte"
"email","courriel"
"letter","lettre"
"recipient","destinataire"
"recipients","destinataires"
"phone numbers","numéros de téléphone"
"email addresses","adresses courriel"
"address","adresse"
"addresses","adresses"
"Template","Gabarit"
"Delete","Supprimer"
"Back","Retour"
"sending","envoi en cours"
"delivered","livraison réussie"
"total","total"
"Completed","Complété"
"Not completed","Non complété"
"Can","Peut"
"Cannot","Ne peut pas"
"Done:","Terminé :"
"Not done:","Non terminé :"
"Bad Request","Demande incorrecte"
"Unauthorized","Non autorisé"
"You are not authorized to see this page.","Vous n’êtes pas autorisé à visualiser cette page."
"You do not have permission to view this page.","Vous n’êtes pas autorisé à visualiser cette page."
"Page could not be found","Page introuvable"
"Check you’ve entered the correct web address.","Assurez-vous d’avoir saisi la bonne adresse Web."
"Page not found","Page introuvable"
"File too big","Fichier trop lourd"
"The file you uploaded was too big","Le fichier téléversé était trop lourd"
"Files must be smaller than 5 MB.","Les fichiers doivent être d’une taille de 5 Mo ou moins."
"Go back and try again.","Retournez à la page précédente et réessayez."
"Server error","Erreur du serveur"
"Sorry, we’re experiencing technical difficulties","Désolé, nous éprouvons des difficultés techniques."
"Try again later.","Veuillez réessayer plus tard."
"Try sending yourself this example","Essayez de vous envoyer cet exemple"
"Every message is sent from a template","Chaque message est envoyé à partir d’un gabarit"
"The template pulls information from your data","Le gabarit extrait de l’information à partir de vos données"
"<i>Notify</i> delivers the message","<i>Notification</i> envoie le message"
"Now go to your dashboard","Allez à votre tableau de bord maintenant"
"Message too long","Message trop long"
"Text messages cannot be longer than","Les messages texte ne peuvent pas dépasser"
"characters.","caractères."
"Your message is","Votre message est"
"You cannot send to","Vous ne pouvez pas faire d'envoi à"
"this email address","cette adresse courriel"
"this phone number","cette numéro de téléphone"
"these email addresses","ces adresses courriel"
"these phone numbers","ces numéros de téléphone"
"In","En"
"you can only send to yourself and members of your team","les envois sont limités à vous et aux membres de votre équipe."
"These messages have already been sent today","Ces messages ont déjà été envoyés aujourd’hui"
"If you need to resend them, rename the file and upload it again.","Si vous avez besoin de les renvoyer, renommez le fichier et téléversez-le à nouveau."
"Too many recipients","Trop de destinataires"
"Daily limit reached","Limite quotidienne atteinte"
"You can only send","Vous ne pouvez envoyer que"
"messages per day","messages par jour"
"in","en"
"You can still send","Vous pouvez encore envoyer"
"messages today, but","messages aujourd’hui, mais"
"contains","contient"
"You cannot send","Vous ne pouvez pas envoyer"
"can only preview how your letters will look","pouvez seulement prévisualiser à quoi ressembleront vos lettres"
"No messages to show","Aucun message à afficher"
"Recipient","Destinataire"
"Status","État"
"Cancel sending","Annuler l’envoi"
"Report is","Le rapport est"
"complete…","complété…"
"Download this report","Télécharger le rapport"
"Only showing the first 50 rows","Ne montre que les 50 premières rangées"
"Sent by","Envoyé par"
"on","le"
"Uploaded by","Téléversé par"
"test","essai"
"To put a heading in your template, use a hash:","Pour mettre un en-tête dans votre gabarit, utilisez un croisillon :"
"# This is a heading","# Voici un en-tête"
"To make bullet points, use asterisks:","Utilisez des astérisques pour les puces dans une énumération :"
"* point 1","* point 1 "
"* point 2","* point 2"
"* point 3","* point 3"
"To insert a page break, use three asterisks:","Pour insérer un saut de page, utilisez trois astérisques :"
"Content on page 1","Contenu de la page 1"
"Content on page 2","Contenu de la page 2"
"Format","Mise en forme"
"To put a title in your template, use a hash:","Pour insérer un titre dans votre gabarit, utilisez un croisillon :"
"# This is a title","# Voici un titre"
"To emphasize text, use a caret. There will be a grey bar beside the text you want to emphasize:","Pour mettre une partie du texte en évidence, veuillez insérer un caret (accent circonflexe). Une barre grise apparaîtra à côté du texte que vous souhaitez mettre en évidence."
"You must tell us if your circumstances change","Si votre situation change, vous devez nous en informer."
"To add a horizontal line, use three dashes:","Pour insérer une ligne horizontale, utilisez trois tirets :"
"First paragraph","Premier paragraphe"
"Second paragraph","Deuxième paragraphe"
"Links and URLs","Liens et URL"
"Always use full URLs, starting with https://","Utilisez toujours des URL complètes qui commencent par https://"
"Apply now at https://www.canada.ca/example","Faites une demande maintenant sur https://www.canada.ca/example"
"Optional content","Contenu facultatif"
"You can enter optional content in your template by uploading a spreadsheet with information about your users.","Vous pouvez entrer du contenu facultatif dans votre gabarit en téléversant une feuille de calcul contenant des renseignements sur vos utilisateurs."
"For example, your spreadsheet may include the age of each user. You want users who are under 18 to receive optional content. Use double brackets and ‘??’ to include the optional content.","Par exemple, votre feuille de calcul peut indiquer l’âge de chaque utilisateur. Et vous aimeriez que les utilisateurs de moins de 18 ans reçoivent le contenu facultatif. Utilisez des parenthèses doubles et deux points d’interrogation (??) pour inclure le contenu facultatif."
"((under18??Please get your application signed by a parent or guardian.))","((moins de 18 ans??Veuillez faire signer votre demande par un parent ou un tuteur.))"
"For each recipient on your spreadsheet, you must indicate:","Pour chaque destinataire dans votre feuille de calcul, vous devez indiquer :"
"‘yes’ to show optional content","‘yes’ pour afficher le contenu optionnel"
"‘no’ to hide optional content","‘no’ pour masquer le contenu optionnel"
"Add personal information","Ajouter des renseignements personnels"
"Use double brackets to add personal information about the recipient:","Utilisez des parenthèses doubles pour ajouter des renseignements personnels sur un destinataire :"
"Hello ((first name)), your reference is ((ref number))","Bonjour ((prénom)), votre numéro de référence est le ((numéro de référence))."
"Send a document by email","Envoyer un document par courriel"
"Use double brackets to add a placeholder field to your template. This will contain a secure link to download the document.","Utilisez des parenthèses doubles pour ajouter un espace réservé à votre gabarit. Cet espace réservé contiendra un lien sécurisé permettant de télécharger le document."
"Download your document at: ((link_to_document))","Téléchargez votre document au : ([lien_au_document])"
"Next, use the API to upload your document.","Ensuite, utilisez l’API pour téléverser votre document."
"Add an inbound SMS","Ajoutez un SMS entrant"
"Add an inbound SMS number","Ajoutez un numéro SMS entrant"
"Number, like 12345678901","Numéro, comme 12345678901"
"Continue","Continuer"
"Notification displays your service name:","<i>Notification</i> affiche le nom de votre service :"
"at the start of every text message","au début de chaque message texte"
"as the ‘from’ address on emails you send","dans l’adresse de l’expéditeur des courriels que vous envoyez"
"Your service name must include both English and French. It cannot be longer than 255 characters.","Le nom de votre service doit être en français et en anglais. Il ne peut compter plus de 255 caractères."
"For example:","Par exemple :"
"Canadian Digital Service (CDS) | Service numérique canadien (SNC)","Canadian Digital Service (CDS) | Service numérique canadien (SNC)"
"You can change this later","Vous pourrez le modifier plus tard"
"Add service","Ajouter un service"
"Inbound SMS number added successfully","Le numéro SMS entrant a bien été ajouté"
"Back to inbound SMS numbers","Retour aux numéros SMS entrants"
"You have added:","Vous avez ajouté :"
"Callback documentation","Documentation sur les fonctions de rappel"
"A callback lets you receive messages from <i>Notify</i> to a URL you choose.","Une fonction de rappel vous permet de recevoir les messages de <i>Notification</i> à une URL que vous avez choisie."
"You’ll need to provide a bearer token, for security. We’ll add this to the authorisation header of the callback request.","Vous devrez fournir un jeton Bearer pour des raison de sécurité. Nous l’ajouterons à l’en-tête d’autorisation de la requête de rappel."
"The callback message is in JSON.","Le message de la fonction de rappel est en format JSON."
"Email and text message delivery receipts","Accusés de réception de courriels et de messages texte"
"When you send an email or text message through <i>Notify</i>, we can send a receipt to your callback URL to tell you if we were able to deliver it or not.","Lorsque vous envoyez un courriel ou un message texte avec <i>Notification</i>, nous pouvons envoyer un accusé à votre URL de rappel pour vous dire si la livraison est réussie ou non."
"Key","Clé"
"Description","Description"
"<i>Notify</i>’s id for the status receipts","Identifiant de <i>Notification</i> pour les reçus d'état"
"The reference sent by the service","La référence envoyée par le service"
"The email address of the recipient","L'adresse courriel du destinataire"
"The status of the notification","L'état de la notification"
"The time the service sent the request","L'heure à laquelle le service a envoyé la demande"
"The last time the status was updated","La dernière fois que l'état a été mis à jour"
"The time the notification was sent","L'heure à laquelle la notification a été envoyée"
"The notification type","Le type de notification"
"Text messages you receive","Messages texte que vous recevez"
"If your service receives text messages in <i>Notify</i>, we can forward them to your callback URL as soon as they arrive.","Si votre service reçoit des messages texte dans <i>Notification</i>, nous pouvons les transférer à votre URL de rappel dès qu’ils sont reçus. "
"Callback message format","Format du message de rappel"
"<i>Notify</i>’s id for the received message","Identifiant de <i>Notification</i> pour le message reçu"
"The phone number the message was sent from","Numéro de téléphone duquel le message a été envoyé"
"The number the message was sent to (your number)","Numéro auquel le message a été envoyé (votre numéro)"
"The received message","Message qui a été reçu"
"The UTC datetime that the message was received by <i>Notify</i>","Date et heure UTC auxquelles le message a été reçu par <i>Notification</i>"
"Invitation has been cancelled","Invitation annulée"
"The invitation you were sent has been cancelled","L’invitation que vous avez reçue a été annulée"
"decided to cancel this invitation.","a décidé d’annuler cette invitation."
"If you need access to","Si vous avez besoin d’accéder à"
", you’ll have to ask them to invite you again.",", vous aurez à leur demander de vous réinviter."
"Check your email​","Vérifiez vos courriels"
"An email has been sent to","Un courriel a été envoyé à"
"Click the link in the email to confirm the change to your email address.","Cliquez sur le lien pour confirmer le changement à votre adresse courriel."
"live service","service en fonction"
"Add a new service","Ajouter un nouveau service"
"Choose service","Choisissez un service"
"All organisations","Toutes les organisations"
"organisations","organisations"
"live services","services en fonction"
"Live services","Services en fonction"
"Trial mode services","Services en mode d’essai"
"Cookies","Témoins"
"<i>Notify</i> puts small files (known as ‘cookies’) onto your computer.","<i>Notification</i> met des petits fichiers (connu sous le nom de « témoins ») sur votre ordinateur."
"These cookies are used to remember you once you’ve logged in.","Ces témoins sont utilisés pour se souvenir de vous une fois que vous avez ouvert une session."
"Find out","Découvrir"
"how to manage cookies","comment gérer les témoins"
"Session cookies","Témoins de session"
"We store session cookies on your computer to help keep your information secure while you use the service.","Nous conservons les témoins de session sur votre ordinateur pour garder vos renseignements en sécurité pendant que vous utilisez le service."
"Name","Nom"
"Purpose","But"
"Expires","Expire"
"notify_admin_session","notification_session_admin"
"Used to keep you logged in","Utilisé pour garder votre session ouverte"
"20 hours","20 heures"
"Introductory message cookie","Témoin du message d’introduction"
"When you first use the service, you may see a pop-up ‘welcome’ message. Once you’ve seen the message, we store a cookie on your computer so it knows not to show it again.","Si vous utilisez le service pour la première fois, vous pourriez voir surgir un message de bienvenue. Une fois que vous avez vu le message, nous conservons un témoin sur votre ordinateur afin qu’il ne s’affiche plus."
"seen_cookie_message","message_témoin_vu"
"Saves a message to let us know that you have seen our cookie message","Enregistre un message pour nous laisser savoir que vous avez vu notre message témoin"
"1 month","1 mois"
"Integrate the <i>Notify</i> API to send messages automatically.","Vous pouvez intégrer l’API <i>Notification</i> afin d'envoyer des messages automatiquement."
"Set up the client","Configurer le client"
"The API is available using clients developed by <a href=https://www.notifications.service.gov.uk/ >GOV.UK</a>.","L'API est disponible en utilisant des clients développés par <a href=https://www.notifications.service.gov.uk/ >GOV.UK</a>."
"À noter : ",""
"Avant d'intégrer l'API avec les clients de Notification ci-dessous, vous devez modifier votre point de terminaison vers <a href=https://api.notification.alpha.canada.ca>https://api.notification.alpha.canada.ca</a>.",""
"Comment changer votre point de terminaison",""
"Note: ",""
"Before integrating the API, using the Notify clients below, you need to change your endpoint to <a href=https://api.notification.alpha.canada.ca>https://api.notification.alpha.canada.ca</a>.",""
"How to change your endpoint","Comment changer votre point de terminaison d'API"
"Choose a client to integrate the API with your system:","Choisissez un client pour intégrer l'API à votre système :"
"Direct connection to API","Connexion directe à l'API"
"email template","gabarit de courriel"
"How to format your message","Comment mettre en forme votre message"
"Your recipients will not see this template name.","Vos destinataires ne verront pas le nom du gabarit."
"Save","Enregistrer"
"loading...","chargement en cours..."
"Okay","D’accord"
"letter template","gabarit de lettre"
"text message template","gabarit de message texte"
"Remove this team member","Enlever ce membre de l'équipe"
"Invalid email link","Lien courriel non valide"
"The link has expired","Le lien a expiré"
"Log in again","Connectez-vous de nouveau"
"to get a new link.","pour obtenir un nouveau lien."
"Resend email link","Renvoyer un lien courriel"
"Sometimes email messages take a few minutes to arrive. If you don’t receive the email, you can resend it.","Parfois, les courriels prennent quelques minutes à parvenir à destination. Si vous ne recevez pas un courriel, vous pouvez le renvoyer."
"Has your email address changed since you joined <i>Notify</i>? Please ask your account manager to reset it.","Votre adresse courriel a-t-elle changé depuis que vous utilisez <i>Notification</i>? Veuillez demander à votre gestionnaire de compte de la réinitialiser."
"If you work for the federal government, you can use <i>Notify</i> to update your users.","Si vous travaillez pour le gouvernement fédéral, vous pouvez utiliser <i>Notification</i> pour mettre à jour vos utilisateurs."
"<i>Notify</i> makes it easy to create, customize and send:","<i>Notification</i> facilite la création, la personnalisation et l’envoi de :"
"You do not need technical knowledge to use Notification.","Vous n’avez pas besoin de connaissances techniques pour utiliser <i>Notification</i>."
"Create an account","Créer un compte"
"for free and try it yourself.","gratuitement et faites-en l’essai."
"Reusable message templates","Gabarit de messages réutilisables"
"To send an email or text with <i>Notify</i>, you need to create a message template first.","Pour envoyer un courriel ou un message texte avec <i>Notification</i>, vous devez d'abord créer un gabarit de message."
"Templates let you send the same thing to lots of people, as often as you need, without writing a new message each time.","Les gabarit vous permettent d’envoyer le même message à de nombreuses personnes, aussi souvent que vous le souhaitez, sans avoir à rédiger le message de nouveau chaque fois."
"Personalised content","Contenu personnalisé"
"<i>Notify</i> makes it easy to send personalised messages from a single template.","<i>Notification</i> facilite l’envoi de messages personnalisés à partir d’un seul gabarit."
"If you want to include personalised content in your message, you can add a placeholder. Each time you send a message, you can fill the placeholder with details such as a name or reference number. You can do this manually or upload a list of personal details and let <i>Notify</i> do it for you.","Si vous voulez inclure du contenu personnalisé dans votre message, vous pouvez ajouter un espace réservé. Chaque fois que vous envoyez un message, vous pouvez ajouter des renseignements tels qu’un nom ou un numéro de référence dans l’espace réservé. Vous pouvez ajouter les renseignements manuellement, ou téléverser une liste de renseignements personnels et laisser <i>Notification</i> les ajouter pour vous."
"Bulk sending","Envoi en lot"
"To send a batch of messages at once, upload a list of contact details to <i>Notify</i>. You can also schedule the date and time for sending emails or text messages.","Pour envoyer un lot de messages en même temps, téléversez une liste de coordonnées dans <i>Notification</i>. Vous pouvez également déterminer la date et l’heure d’envoi des courriels ou des messages texte."
"Application Programming Interface (API) integration","Intégration de l’interface de programmation d’applications (API)"
"You can integrate <i>Notify</i>’s API with your web application or back-office system to send messages automatically.","Vous pouvez intégrer l’API <i>Notification</i> à votre application Web ou à votre système administratif pour envoyer des messages automatiquement."
"Read our","Reportez-vous à notre"
"API documentation","documentation sur l’API"
"for more information.","pour en savoir plus."
"<i>Notify</i>’s real-time dashboard lets you see the number of messages sent. You can also check the current status of any message to learn when it was delivered.","Le tableau de bord en temps réel de <i>Notification</i> vous permet de voir le nombre de messages envoyés. Vous pouvez également consulter l'état actuel de vos messages afin de connaître le moment de leur livraison."
"Read more about how","En savoir plus sur"
"message status","l'état des messages"
"works.","et leur fonctionnement."
"Permissions","Autorisations"
"Control which members of your team can see, create, edit, and send messages.","Définissez quels membres de votre équipe peuvent voir, créer, modifier et envoyer des messages."
"Notification lets you:","<i>Notification</i> vous permet d’effectuer ce qui suit :"
"set different permission levels for each team member","Établir différents niveaux d’autorisation pour chaque membre de l’équipe"
"invite team members who don’t have a government email address","Inviter des membres d’équipe qui n’ont pas d’adresse courriel gouvernementale"
"choose who else can manage team members","Désigner les autres personnes qui peuvent gérer les membres de l’équipe"
"<i>Notify</i> protects and manages data to meet the needs of government services.","<i>Notification</i> protège et gère les données de façon à répondre aux besoins en matière de services gouvernementaux."
"Hide sensitive information","Masquer les renseignements de nature délicate"
"<i>Notify</i> lets you redact personal information from your messages after they’ve been sent. Only the recipient can see their personal information.","<i>Notification</i> vous permet de masquer les renseignements personnels contenus dans vos messages après qu’ils ont été envoyés. Seul le destinataire peut voir ses renseignements personnels."
"<i>Notify</i> uses two-factor authentication (2FA) to keep your account secure. When you log in, we'll send a unique one-time code to your phone and ask you to enter it before we let you use your account.","<i>Notification</i> utilise l’authentification à deux facteurs (A2F) pour assurer la sécurité de votre compte. Au moment de créer votre compte, vous recevrez un code unique par message texte et devrez l’entrer avant de pouvoir utiliser votre compte."
"Read more about","En savoir plus au sujet de la "
"security","sécurité"
"Create a new password","Créez un nouveau mot de passe"
"Forgot your password?","Vous avez oublié votre mot de passe?"
"We’ll send you an email to create a new password.","Nous vous enverrons un courriel pour créer un nouveau mot de passe."
"Send email","Envoyer un courriel"
"Add number","Ajouter un numéro"
"Invite a team member","Inviter un membre de l’équipe"
"Send invitation email","Envoyer un courriel d’invitation"
"invitation expired","Votre invitation à <i>Notification</i> a expiré. Veuillez demander à la personne qui vous a invité de vous envoyer une autre invitation."
"bad invitation link","Ce lien ne fonctionne pas. Assurez-vous que vous avez bien copié le lien au complet."
"You’re logged in as %(email)s. This invite is for another email address. <a href=%(href)s>Log out</a> and click the link again to accept this invite.","Vous êtes connecté avec : %(email)s. Cette invitation est pour une autre adresse courriel. <a href=%(href)s>Veuillez vous déconnecter</a> et cliquer à nouveau sur le lien pour accepter cette invitation."
"Login history","Historique de connexion"
"Our records show that these are the last 3 times you logged into this account:","Nos archives montrent que ce sont les trois dernières fois que vous vous êtes connecté au site :"
"If this is not correct, ","Si ce n'est pas le cas, "
"contact us right away","communiquez avec nous immédiatement"
"Invite someone to join your team","Invitez une personne à se joindre à votre équipe"
"invited","invité"
"cancelled invite","invitation annulée"
"you","vous"
"Cannot see any folders","Ne peut voir aucun dossier"
"Can see all folders","Peut voir tous les dossiers"
"Logs in with a Fido2 key","Se connecte avec une clé Fido2"
"Logs in with a text message code","Se connecte à l’aide d’un code envoyé par message texte"
"Logs in with an email link","Se connecte à l'aide d’un lien envoyé par courriel"
"Cancel invitation","Annuler l’invitation"
"Change details","Modifier les renseignements"
