"location","source","target"
"app/models/template_list.py:155","1 template",""
"app/models/template_list.py:158","templates",""
"app/models/template_list.py:161","1 folder",""
"app/models/template_list.py:163 app/templates/main_template.html:90","folders",""
"app/templates/admin_template.html:14","Notify",""
"app/templates/contact_template.html:15 app/templates/views/add-service.html:13 app/templates/views/service-settings/use-case.html:20","Step {} of {}",""
"app/templates/contact_template.html:28 app/templates/partials/add-service/step-choose-email.html:16 app/templates/partials/add-service/step-choose-logo.html:9 app/templates/partials/add-service/step-create-service.html:45 app/templates/views/add-inbound-sms-admin.html:18 app/templates/views/login_events.html:36 app/templates/views/new-password.html:29 app/templates/views/register-from-invite.html:33 app/templates/views/register-from-org-invite.html:24 app/templates/views/register.html:33 app/templates/views/s3-send.html:32 app/templates/views/send-test.html:66 app/templates/views/service-settings/email-reply-to/_verify-updates.html:27 app/templates/views/signin.html:33 app/templates/views/templates/add-recipients.html:31 app/templates/views/templates/add.html:12 app/templates/views/templates/create.html:19 app/templates/views/templates/set-sender.html:26 app/templates/views/templates/set-template-sender.html:25 app/templates/views/templates/start-tour.html:17 app/templates/views/two-factor-email.html:16 app/templates/views/two-factor-sms.html:16 app/templates/views/user-profile/2fa.html:51 app/templates/views/user-profile/add-security-keys.html:26 app/templates/views/user-profile/deactivate-account.html:39 app/templates/views/verify-mobile.html:22","Continue",""
"app/templates/contact_template.html:30 app/templates/views/notifications/check.html:128","Send",""
"app/templates/content_template.html:11","GC Notify lets you send emails and text messages to your users",""
"app/templates/content_template.html:12","e-notify, e notify, Enotify, gc notify, notify, canada notify, canada email, email notifications, Government of Canada, federal government, Canada SMS, Canada Notification service",""
"app/templates/content_template.html:13","GC Notify | Notification GC",""
"app/templates/main_template.html:41 app/templates/main_template.html:49 app/templates/views/dashboard/task-shortcuts.html:38","New",""
"app/templates/main_template.html:48","Now",""
"app/templates/main_template.html:50","Done",""
"app/templates/main_template.html:51 app/templates/views/dashboard/task-shortcuts.html:27 app/templates/views/storybook/indicator.html:32 app/templates/views/templates/_move_to.html:32","Create template",""
"app/templates/main_template.html:52","New folder",""
"app/templates/main_template.html:53","Sample library",""
"app/templates/main_template.html:54","Copy template",""
"app/templates/main_template.html:55 app/templates/views/templates/_move_to.html:39","Nothing selected",""
"app/templates/main_template.html:57 app/templates/views/templates/_move_to.html:42","You are browsing templates. Create and copy template or add new folder.",""
"app/templates/main_template.html:58","You are selecting templates. Move templates into a new or existing folder.",""
"app/templates/main_template.html:59","Move templates to a new or existing folder",""
"app/templates/main_template.html:60","templates found",""
"app/templates/main_template.html:61","selection",""
"app/templates/main_template.html:62","selections",""
"app/templates/main_template.html:63","Choose a different time",""
"app/templates/main_template.html:64 app/templates/views/platform-admin/clear-cache.html:18","Clear",""
"app/templates/components/page-footer.html:37 app/templates/components/tou-dialog.html:33 app/templates/main_template.html:65 app/templates/views/user-profile/confirm.html:25 app/templates/views/user-profile/manage-phones.html:42","Cancel",""
"app/templates/main_template.html:66 app/templates/views/templates/_move_to.html:19","Add to new folder",""
"app/templates/main_template.html:67 app/templates/views/templates/_move_to.html:13","Move",""
"app/templates/main_template.html:68","AM",""
"app/templates/main_template.html:69","PM",""
"app/templates/main_template.html:70","Today",""
"app/templates/main_template.html:71","Tomorrow",""
"app/templates/main_template.html:72","Monday",""
"app/templates/main_template.html:73","Tuesday",""
"app/templates/main_template.html:74","Wednesday",""
"app/templates/main_template.html:75","Thursday",""
"app/templates/main_template.html:76","Friday",""
"app/templates/main_template.html:77","Saturday",""
"app/templates/main_template.html:78","Sunday",""
"app/templates/main_template.html:79","o_clock",""
"app/templates/main_template.html:80","Hour to send",""
"app/templates/main_template.html:81","Copied to clipboard",""
"app/templates/main_template.html:83 app/templates/views/templates/copy.html:46","Copy",""
"app/templates/main_template.html:84","to clipboard",""
"app/templates/main_template.html:85","Add another",""
"app/templates/main_template.html:86","number",""
"app/templates/main_template.html:87","remaining",""
"app/templates/main_template.html:88 app/templates/views/user-profile/manage-phones.html:37 app/templates/views/user-profile/security-keys.html:40","Remove",""
"app/templates/main_template.html:89 app/templates/views/manage-users.html:96 app/templates/views/templates/_template_list.html:44","folder",""
"app/templates/main_template.html:91","All folders",""
"app/templates/main_template.html:92","Show folders",""
"app/templates/main_template.html:93","choosing folders",""
"app/templates/main_template.html:94","choosing team members",""
"app/templates/main_template.html:95","No folders (only templates outside a folder)",""
"app/templates/main_template.html:96","No team members (only you)",""
"app/templates/main_template.html:97","{selection} of {total} folders",""
"app/templates/main_template.html:97","many {selection} of {total} folders",""
"app/templates/main_template.html:98","{selection} of {total} team members",""
"app/templates/main_template.html:98","many {selection} of {total} team members",""
"app/templates/main_template.html:99","No {field}s",""
"app/templates/main_template.html:100","All team members",""
"app/templates/main_template.html:101","Select team members",""
"app/templates/main_template.html:102","Cancel upload",""
"app/templates/main_template.html:103","Choose arbitrary things",""
"app/templates/main_template.html:105","Not a valid file type. Choose a different file.",""
"app/templates/main_template.html:106","File name:",""
"app/templates/main_template.html:107","file size:",""
"app/templates/main_template.html:108","display size:",""
"app/templates/main_template.html:111 app/templates/main_template.html:112","Address",""
"app/templates/main_template.html:113","API key (GC Notify)",""
"app/templates/main_template.html:114","Canadian bank account",""
"app/templates/main_template.html:115","Credit card",""
"app/templates/main_template.html:116","Driver’s license (Alberta)",""
"app/templates/main_template.html:117","Driver’s license (Manitoba)",""
"app/templates/main_template.html:118","Driver’s license (Newfoundland)",""
"app/templates/main_template.html:119","Driver’s license (Nova Scotia)",""
"app/templates/main_template.html:120","Driver’s license (Ontario)",""
"app/templates/main_template.html:121","Driver’s license (Quebec)",""
"app/templates/main_template.html:122","Health card (Alberta)",""
"app/templates/main_template.html:123","Health card (Newfoundland)",""
"app/templates/main_template.html:124","Health card (Nova Scotia)",""
"app/templates/main_template.html:125","Health card (NWT)",""
"app/templates/main_template.html:126","Health card (Ontario)",""
"app/templates/main_template.html:127","Health card (Quebec)",""
"app/templates/main_template.html:128","IP address",""
"app/templates/main_template.html:129","Canadian passport",""
"app/templates/main_template.html:131","P.O. Box",""
"app/templates/main_template.html:132","Postal code",""
"app/templates/main_template.html:133","Social insurance number",""
"app/templates/main_template.html:134","Personal record identifier",""
"app/templates/main_template.html:135","Possible identifier",""
"app/templates/main_template.html:136","Estimate: {} text message parts.",""
"app/templates/main_template.html:137","Estimate: 1 text message part.",""
"app/templates/main_template.html:138","Variables may increase number of messages.",""
"app/templates/main_template.html:139","Total: {} text message parts.",""
"app/templates/main_template.html:140","Total: 1 text message part.",""
"app/templates/main_template.html:141 app/templates/views/check/ok.html:131","{} parts",""
"app/templates/main_template.html:142","1 part",""
"app/templates/main_template.html:143","{} parts estimated",""
"app/templates/main_template.html:144","1 part estimated",""
"app/templates/main_template.html:145","{} characters per part",""
"app/templates/components/message-count-label.html:53 app/templates/main_template.html:146","recipient",""
"app/templates/components/message-count-label.html:55 app/templates/main_template.html:147","recipients",""
"app/templates/main_template.html:148","{} too many characters",""
"app/templates/main_template.html:149","1 too many characters",""
"app/templates/main_template.html:165","Opens in a new tab",""
"app/templates/org_template.html:21 app/templates/views/organisations/organisation/index.html:4 app/templates/views/organisations/organisation/index.html:10","Usage",""
"app/templates/components/api-key.html:1 app/templates/views/api/keys.html:49 app/templates/views/api/keys.html:53 app/templates/views/api/keys/show.html:24 app/templates/views/platform-admin/api_keys_ranked.html:21","API key",""
"app/templates/components/api-key.html:4","API data:",""
"app/templates/components/big-number.html:49 app/templates/components/big-number.html:57","failed",""
"app/templates/components/big-number.html:52","Review reports",""
"app/templates/components/big-number.html:60","No failures",""
"app/templates/components/big-number.html:77 app/templates/views/dashboard/_totals.html:54 app/templates/views/dashboard/_totals.html:113 app/templates/views/dashboard/review-email-list.html:12 app/templates/views/dashboard/review-email-list.html:17","Review email addresses",""
"app/templates/components/big-number.html:79","No problem addresses",""
"app/templates/components/big-number.html:87 app/templates/views/dashboard/review-email-list.html:32","Less than {}",""
"app/templates/components/big-number.html:87 app/templates/components/big-number.html:89","problem addresses",""
"app/templates/components/file-upload.html:4 app/templates/components/file-upload.html:29 app/templates/views/check/column-errors.html:194 app/templates/views/check/row-errors.html:53","Choose file",""
"app/templates/components/file-upload.html:17 app/templates/views/check/column-errors.html:101","or",""
"app/templates/components/file-upload.html:21 app/templates/views/platform-admin/returned-letters.html:17 app/templates/views/service-settings/request-to-go-live.html:69 app/templates/views/service-settings/request-to-go-live.html:76 app/templates/views/service-settings/sending_domain.html:30","Submit",""
"app/templates/components/file-upload.html:54","No file currently selected",""
"app/templates/components/folder-path.html:11 app/templates/components/folder-path.html:55","Current folder path",""
"app/templates/components/folder-path.html:57 app/templates/views/organisations/organisation/trial-mode-services.html:5 app/templates/views/storybook/disclosure-menu.html:68","Services",""
"app/templates/components/message-count-label.html:5","message",""
"app/templates/components/message-count-label.html:7","messages",""
"app/templates/components/message-count-label.html:13 app/templates/components/message-count-label.html:18","text message part",""
"app/templates/components/message-count-label.html:13 app/templates/components/message-count-label.html:18 app/templates/components/message-count-label.html:84","text message",""
"app/templates/components/message-count-label.html:15 app/templates/components/message-count-label.html:20","text-message-parts",""
"app/templates/components/message-count-label.html:15 app/templates/components/message-count-label.html:20","text-messages",""
"app/templates/components/message-count-label.html:25 app/templates/components/message-count-label.html:30 app/templates/components/message-count-label.html:86 app/templates/views/api/keys.html:68 app/templates/views/api/safelist.html:60","email",""
"app/templates/components/message-count-label.html:27 app/templates/components/message-count-label.html:32 app/templates/components/remaining-messages-summary.html:42 app/templates/views/dashboard/_totals_annual.html:8 app/templates/views/dashboard/_totals_daily.html:8 app/templates/views/dashboard/monthly.html:45 app/templates/views/dashboard/monthly.html:54 app/templates/views/service-settings/email-reply-to/edit.html:29 app/templates/views/storybook/remaining-messages.html:23 app/templates/views/storybook/remaining-messages.html:45","emails",""
"app/templates/components/message-count-label.html:36 app/templates/components/message-count-label.html:88","letter",""
"app/templates/components/message-count-label.html:38","letters",""
"app/templates/components/message-count-label.html:95","problem email",""
"app/templates/components/notice.html:11","Information",""
"app/templates/components/notice.html:15","Success",""
"app/templates/components/notice.html:19 app/templates/components/select-input.html:64 app/templates/views/check/row-errors.html:19 app/templates/views/notifications/check.html:9","Error",""
"app/templates/components/notice.html:23","Warning",""
"app/templates/components/page-footer.html:9 app/templates/components/page-footer.html:105 app/templates/views/api/callbacks/received-text-messages-callback.html:42 app/templates/views/service-settings/email-reply-to/edit.html:9 app/templates/views/service-settings/letter-contact/edit.html:42 app/templates/views/service-settings/sms-sender/edit.html:11","Delete",""
"app/templates/components/page-header.html:48 app/templates/components/page-header.html:50 app/templates/views/edit-email-template.html:30 app/templates/views/edit-sms-template.html:24","Back",""
"app/templates/components/preview-banner.html:4 app/templates/views/page-content.html:5","PREVIEW",""
"app/templates/components/preview-banner.html:8","This is a preview of drafted content. Information on this page is subject to change.",""
"app/templates/components/preview-banner.html:12","Edit this page",""
"app/templates/components/problem-email-checkbox.html:4","Only show problem addresses",""
"app/templates/components/profile-item.html:11","your",""
"app/templates/components/remaining-messages-summary.html:16","April 1, ",""
"app/templates/components/remaining-messages-summary.html:29 app/templates/views/dashboard/monthly.html:29","text message parts",""
"app/templates/components/remaining-messages-summary.html:30","text message parts can be sent before {}&nbsp;ET",""
"app/templates/components/remaining-messages-summary.html:31","text message part can be sent before {}&nbsp;ET",""
"app/templates/components/remaining-messages-summary.html:32 app/templates/components/remaining-messages-summary.html:38 app/templates/components/remaining-messages-summary.html:45 app/templates/components/remaining-messages-summary.html:68","can be sent before",""
"app/templates/components/remaining-messages-summary.html:35 app/templates/partials/check/too-many-messages-annual.html:9 app/templates/views/dashboard/_totals_annual.html:27 app/templates/views/dashboard/_totals_daily.html:26 app/templates/views/dashboard/monthly.html:29","text messages",""
"app/templates/components/remaining-messages-summary.html:36","text messages can be sent before {}&nbsp;ET",""
"app/templates/components/remaining-messages-summary.html:37","text message can be sent before {}&nbsp;ET",""
"app/templates/components/remaining-messages-summary.html:43","emails can be sent before {}&nbsp;ET",""
"app/templates/components/remaining-messages-summary.html:44","email can be sent before {}&nbsp;ET",""
"app/templates/components/remaining-messages-summary.html:55","can be sent before {}&nbsp;ET",""
"app/templates/components/remaining-messages-summary.html:58 app/templates/views/dashboard/_totals_daily.html:30","Request a daily limit increase",""
"app/templates/components/remaining-messages-summary.html:71","Visit Usage reports",""
"app/templates/components/remaining-messages-summary.html:87","Within daily limits",""
"app/templates/components/remaining-messages-summary.html:87","Within annual limits",""
"app/templates/components/remaining-messages-summary.html:91","Warning: nearing daily limit",""
"app/templates/components/remaining-messages-summary.html:91","Warning: nearing annual limits",""
"app/templates/components/remaining-messages-summary.html:122","At limit: ",""
"app/templates/components/remaining-messages-summary.html:124","Near limit: ",""
"app/templates/components/remaining-messages-summary.html:126","Below limit: ",""
"app/templates/components/remaining-messages.html:5 app/templates/components/remaining-messages.html:12","You are nearing the {} limit",""
"app/templates/components/remaining-messages.html:9","of",""
"app/templates/components/report-footer.html:7","Delivery reports:",""
"app/templates/components/report-footer.html:10","{} preparing",""
"app/templates/components/report-footer.html:16","{} ready",""
"app/templates/components/report-footer.html:23","{} deleted",""
"app/templates/components/report-footer.html:27 app/templates/views/check/column-errors.html:123 app/templates/views/edit-sms-template.html:65 app/templates/views/send.html:68","and",""
"app/templates/components/report-footer.html:32","Visit delivery reports",""
"app/templates/components/report-footer.html:44","Prepare report",""
"app/templates/components/sms-character-info.html:23","Message size:",""
"app/templates/components/sms-character-info.html:29","Daily limit:",""
"app/templates/components/sms-character-info.html:30","parts",""
"app/templates/components/sms-character-info.html:34","Maximum daily send:",""
"app/templates/components/sms-character-info.html:42","Text messages are measured in parts of 160 characters. Some special characters reduce all parts to 70 characters. More parts means you can send to fewer recipients per day.",""
"app/templates/components/sms-character-info.html:48","What are parts?",""
"app/templates/components/sms-character-info.html:51","Parts are a unit of measurement. Message size is measured in parts, like file size is measured in megabytes.",""
"app/templates/components/sms-character-info.html:53","Parts count toward your sending limits",""
"app/templates/components/sms-character-info.html:55","More parts reduce how many messages you can send each day and year.",""
"app/templates/components/sms-character-info.html:56","For details, visit",""
"app/templates/components/sms-character-info.html:59","Parts do not affect recipients",""
"app/templates/components/sms-character-info.html:61","Recipients still receive one text message.",""
"app/templates/components/sms-character-info.html:64","We show estimates for custom content",""
"app/templates/components/sms-character-info.html:66","When we detect a ((variable)), we estimate the part count.",""
"app/templates/components/sms-character-info.html:69","Write clear messages to stay within limits",""
"app/templates/components/sms-character-info.html:71","Do not remove or replace accents to reduce parts. Instead, follow Best practices for text messages.",""
"app/templates/components/sub-navigation.html:16","sub-navigation",""
"app/templates/components/table.html:97 app/templates/views/service-settings.html:10","No value",""
"app/templates/components/table.html:135 app/templates/views/service-settings.html:120 app/templates/views/service-settings.html:318 app/templates/views/user-profile/manage-phones.html:32","Not set",""
"app/templates/components/task-list.html:12","In progress",""
"app/templates/components/task-list.html:31","Completed",""
"app/templates/components/task-list.html:37","Not completed",""
"app/templates/components/template-category.html:12","Does the category still apply?",""
"app/templates/components/template-category.html:13","Change category",""
"app/templates/components/template-content.html:4 app/templates/components/tiptap-editor.html:17","Email message",""
"app/templates/components/template-content.html:18","Display",""
"app/templates/components/template-content.html:18","email content",""
"app/templates/components/template-content.html:18","right to left",""
"app/templates/components/template-filter.html:28 app/templates/views/platform-admin/index.html:18 app/templates/views/platform-admin/services.html:100","Apply filters",""
"app/templates/components/template-filter.html:30","Filter by template type and category",""
"app/templates/components/template-filter.html:44","Category",""
"app/templates/components/terms.html:29","Your responsibilities",""
"app/templates/components/terms.html:31","For CDS responsibilities, read GC Notify’s ",""
"app/templates/components/terms.html:33","service level agreement",""
"app/templates/components/terms.html:36","Privacy notice",""
"app/templates/components/terms.html:38","We may suspend your account or service if you break these terms or misuse GC Notify.",""
"app/templates/components/terms.html:40","Misuse includes:",""
"app/templates/components/terms.html:42","Creating duplicate services.",""
"app/templates/components/terms.html:43","Creating services incompatible with your original purpose.",""
"app/templates/components/terms.html:44","Using GC Notify for emergencies.",""
"app/templates/components/terms.html:48","We apply limits to maintain our ",""
"app/templates/components/terms.html:49","service level objectives",""
"app/templates/components/terms.html:49","To discuss these limits, ",""
"app/templates/components/terms.html:57","Daily limit per service:",""
"app/templates/components/terms.html:61","10,000 emails<br />1,500 text message parts",""
"app/templates/components/terms.html:63","10,000 emails<br />1,000 text messages",""
"app/templates/components/terms.html:73","<strong>Annual limit per service </strong>(April 1 to March 31)<strong>:</strong>",""
"app/templates/components/terms.html:78","20 million emails<br />100,000 text message parts",""
"app/templates/components/terms.html:80","20 million emails<br />100,000 text messages",""
"app/templates/components/terms.html:86","Texts are:",""
"app/templates/components/terms.html:89","Unencrypted, and have other <a href='https://datatracker.ietf.org/doc/html/rfc5724#section-4'>security issues</a>. Bad actors may be able to impersonate your service.",""
"app/templates/components/terms.html:91","At higher risk than email for delay, delivery failure, or lack of information about delivery status.",""
"app/templates/components/terms.html:92","Unreliable for phone numbers outside Canada. We cannot show delivery status for international texts.",""
"app/templates/components/terms.html:96","GC Notify holds information temporarily but your organization is responsible for that information.",""
"app/templates/components/terms.html:99","Communicate with recipients about incidents involving personal information. Contact your <a href='https://www.tbs-sct.canada.ca/ap/atip-aiprp/coord-eng.asp'>privacy office</a> and follow their policies.",""
"app/templates/components/terms.html:102","Respond to requests under the <a href='https://laws-lois.justice.gc.ca/eng/acts/A-1/index.html'><em>Access to Information Act</em></a> and <a href='https://laws-lois.justice.gc.ca/eng/ACTS/P-21/index.html'><em>Privacy Act</em></a> or similar requests under your jurisdiction’s legislation. For support, <a href='/contact'>contact us</a>.",""
"app/templates/components/terms.html:104","Follow your jurisdiction’s legislation and policies, including for branding, language or privacy.",""
"app/templates/components/terms.html:110","Follow your organization’s policies and check messages are:<br /> (a) Within scope of the consent; for example, if recipient consented to communications about their application, or<br />(b) If there’s no explicit consent, consistent with the purpose for which recipient gave contact information under <a href='https://laws-lois.justice.gc.ca/eng/ACTS/P-21/page-1.html#h-397260'><em>Privacy Act,</em> s.7</a>. You may be able to email or text recipients who consented to mail or phone calls.",""
"app/templates/components/terms.html:112","Check phone numbers can receive texts for free or that the owner understands they may be charged.",""
"app/templates/components/terms.html:117","Use accurate, in-use email addresses. We may suspend your service if, in a 24 hour period, you send 10%% or more of your email messages to problem addresses.",""
"app/templates/components/terms.html:118","Use accurate, in-use mobile phone numbers. Do not send to landlines.",""
"app/templates/components/terms.html:123","Assess context to decide what <a href='https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32614&amp;section=html'>degree of injury</a> could result from release of personal information, either accidentally or by a bad actor.",""
"app/templates/components/terms.html:124","Use GC Notify for <a href='https://www.canada.ca/en/public-services-procurement/services/industrial-security/security-requirements-contracting/safeguarding-equipment-sites-assets-information/levels-security.html'>low-sensitivity personal information</a>.",""
"app/templates/components/terms.html:125","Do not send emergency messages with GC Notify.",""
"app/templates/components/terms.html:130","Use a valid government email to create your account and for 2-factor authentication.",""
"app/templates/components/terms.html:131","Create your GC Notify account with a work email address only you can access. Do not share inboxes, account information or passwords, even among staff.",""
"app/templates/components/terms.html:132","Follow 11.4 and 11.6 of Amazon Web Service (AWS) <a href='https://aws.amazon.com/service-terms/'>Service Terms</a>.",""
"app/templates/components/terms.html:133","<a href='https://documentation.notification.canada.ca/en/keys.html#security'>Secure your API keys</a> and follow our rules for <a href='https://documentation.notification.canada.ca/en/send.html#check-status-repair-and-resend-messages'>API calls and unprocessed requests</a> as well as <a href='https://documentation.notification.canada.ca/en/callbacks.html'>callbacks</a>.  If you cannot meet our callback requirements, we’ll need to suspend callbacks for your service.",""
"app/templates/components/textbox.html:38 app/templates/views/send-test.html:32","Optional",""
"app/templates/components/textbox.html:154","Search",""
"app/templates/components/tick-cross.html:1","Can",""
"app/templates/components/tick-cross.html:2","Cannot",""
"app/templates/components/tick-cross.html:3","Done:",""
"app/templates/components/tick-cross.html:4","Not done:",""
"app/templates/components/tou-dialog.html:9","Terms of use:",""
"app/templates/components/tou-dialog.html:16","Close",""
"app/templates/components/tou-dialog.html:24 app/templates/views/register-from-invite.html:30 app/templates/views/register.html:29","Read and agree to the terms of use",""
"app/templates/components/tou-dialog.html:29 app/templates/views/service-settings/terms-of-use.html:33","Agree",""
"app/templates/components/tou-prompt.html:7","Before you continue",""
"app/templates/components/tou-prompt.html:10","Communicating during caretaker period",""
"app/templates/components/tou-prompt.html:11","Some communications are prohibited during a federal election. Check with your communications branch if you’re not sure you can send an announcement or other message. For more information, read the",""
"app/templates/components/tou-prompt.html:12","Guidelines",""
"app/templates/components/tou-prompt.html:12","https://www.canada.ca/en/privy-council/services/publications/guidelines-conduct-ministers-state-exempt-staff-public-servants-election.html",""
"app/templates/components/tou-prompt.html:17","Review your activity",""
"app/templates/components/tou-prompt.html:18","GC Notify always shows your local time, except where we state otherwise.",""
"app/templates/components/tou-prompt.html:19 app/templates/views/login_events.html:13","Review our records of your last 3 sign in times:",""
"app/templates/components/tou-prompt.html:35 app/templates/views/login_events.html:33","If our records are not correct, ",""
"app/templates/components/tou-prompt.html:40","By using GC Notify, you agree to:",""
"app/templates/components/tou-prompt.html:43","By using GC Notify, you accept our ",""
"app/templates/components/tou-prompt.html:44","terms of use",""
"app/templates/components/tou-prompt.html:45","This includes your agreement to:",""
"app/templates/components/tou-prompt.html:64","Agree and continue",""
"app/templates/components/validation-summary.html:12","There was a problem",""
"app/templates/error/400.html:2","Bad Request",""
"app/templates/error/401.html:2","Unauthorized",""
"app/templates/error/401.html:7","You are not authorized to see this page.",""
"app/templates/error/403.html:10","You do not have permission to view this page.",""
"app/templates/error/404.html:2 app/templates/error/404.html:7 app/templates/error/410.html:7","Page could not be found",""
"app/templates/error/404.html:10 app/templates/error/410.html:10","Check you’ve entered the correct web address.",""
"app/templates/error/410.html:2","Page not found",""
"app/templates/error/413.html:2","File too big",""
"app/templates/error/413.html:7","The file you uploaded was too big",""
"app/templates/error/413.html:12","Files must be smaller than 5 MB.",""
"app/templates/error/413.html:15","Go back and try again.",""
"app/templates/error/500.html:2","Server error",""
"app/templates/error/500.html:7","Sorry, we’re experiencing technical difficulties",""
"app/templates/error/500.html:9","Try again later.",""
"app/templates/partials/count.html:4 app/templates/views/activity/counts.html:8","Filter by status",""
"app/templates/partials/csv-send.html:5","For example:",""
"app/templates/partials/csv-send.html:9 app/templates/views/send.html:36","Example",""
"app/templates/partials/csv-send.html:20","Download this example",""
"app/templates/partials/csv-send.html:25","Your file will populate this template",""
"app/templates/partials/flash_messages.html:6","cancel",""
"app/templates/partials/flash_messages.html:6","delete",""
"app/templates/partials/flash_messages.html:6","suspend",""
"app/templates/partials/flash_messages.html:6","resume",""
"app/templates/partials/flash_messages.html:6","remove",""
"app/templates/partials/flash_messages.html:6","revoke this API key",""
"app/templates/partials/flash_messages.html:6","block",""
"app/templates/partials/flash_messages.html:6","archive",""
"app/templates/partials/flash_messages.html:6","reset",""
"app/templates/partials/flash_messages.html:6","request",""
"app/templates/partials/flash_messages.html:9 app/templates/views/service-settings/email-reply-to/_verify-updates.html:66","Try again",""
"app/templates/partials/flash_messages.html:11","Unblock",""
"app/templates/partials/template-attachments-list.html:27","File upload in progress",""
"app/templates/partials/template-attachments-warning.html:5","Some files are not yet attached",""
"app/templates/partials/template-attachments-warning.html:6","GC Notify is still scanning your files.",""
"app/templates/partials/tour.html:4","Try sending yourself this example",""
"app/templates/partials/tour.html:11","Every message is sent from a template",""
"app/templates/partials/tour.html:21","The template pulls information from your data",""
"app/templates/partials/tour.html:31","GC Notify delivers the message",""
"app/templates/partials/tour.html:35","Now go to your dashboard",""
"app/templates/partials/add-service/step-choose-email.html:1 app/templates/views/service-settings/email_from.html:21","Your sending email address helps build trust with recipients. A good email address is relevant and as concise as possible.",""
"app/templates/partials/add-service/step-choose-email.html:2","An email address contains two parts: the name and the domain, separated by the at symbol. For your service, you can choose the name part.",""
"app/templates/partials/add-service/step-choose-email.html:3","You may use letters, numbers, dots, dashes or underscores. You can change this later in Settings.",""
"app/templates/partials/add-service/step-choose-email.html:4 app/templates/views/service-settings.html:67","Sending email address name",""
"app/templates/partials/add-service/step-choose-email.html:10","Up to 64 characters. Enter what comes before the at symbol, without spaces.",""
"app/templates/partials/add-service/step-choose-email.html:14","Enter a name to preview your sending email address.",""
"app/templates/partials/add-service/step-choose-email.html:22","You can change your service email address later in Settings.",""
"app/templates/partials/add-service/step-choose-logo.html:1","You can change the order later in Settings.",""
"app/templates/partials/add-service/step-choose-logo.html:2","When GC Notify sends your messages, your emails show Government of Canada branding.",""
"app/templates/partials/add-service/step-create-service.html:3","You can change the name and email address later in Settings.",""
"app/templates/partials/add-service/step-create-service.html:4","When GC Notify sends your emails, the ‘From’ field shows the name followed by the email address.",""
"app/templates/partials/add-service/step-create-service.html:7","Learn more about the ‘From’ field",""
"app/templates/partials/add-service/step-create-service.html:9","Recipients can check the name and email address to confirm the message comes from your service.",""
"app/templates/partials/add-service/step-create-service.html:10","In this example, a government service has chosen the name ‘Renew your license’ and the email address ’renew@notification.canada.ca’:",""
"app/templates/partials/add-service/step-create-service.html:11","Service name: <b><span lang='en-CA'>Renew your license</span>&nbsp;|&nbsp;<span lang='fr-CA'>Renouveler votre permis</span></b>",""
"app/templates/partials/add-service/step-create-service.html:12","Email address: <b>renew</b>@notification.canada.ca",""
"app/templates/partials/add-service/step-create-service.html:17 app/templates/views/service-settings.html:54","Service name",""
"app/templates/partials/add-service/step-create-service.html:18","GC Notify also shows the service name at the start of every text message.",""
"app/templates/partials/add-service/step-create-service.html:21 app/templates/views/service-settings/name.html:34","Use a name that recipients will recognize. Maximum 255 characters.",""
"app/templates/partials/add-service/step-create-service.html:26","The email address always ends with ‘@{}’.",""
"app/templates/partials/add-service/step-create-service.html:27 app/templates/views/service-settings/email_from.html:26","Maximum 64 characters with no spaces. Characters can include letters, numbers, dots, dashes, and underscores.",""
"app/templates/partials/add-service/step-create-service.html:33 app/templates/views/service-settings/email_from.html:30","Check that your email address is formatted correctly.",""
"app/templates/partials/add-service/step-create-service.html:35 app/templates/views/service-settings/email_from.html:32","Your service’s email address will be: ",""
"app/templates/partials/add-service/step-create-service.html:42","This email address cannot receive replies. In Settings, you can enter a different email for replies. Currently your service is set to prevent replies.",""
"app/templates/partials/add-service/step-create-service.html:47 app/templates/partials/add-service/step-enter-combined-organisation.html:20 app/templates/partials/add-service/step-enter-other-organisation.html:8","Create service",""
"app/templates/partials/add-service/step-enter-combined-organisation.html:4","We use this information to improve GC Notify.",""
"app/templates/partials/add-service/step-enter-combined-organisation.html:10","For example: Treasury Board of Canada Secretariat",""
"app/templates/partials/add-service/step-enter-combined-organisation.html:11","Not on the list? Add your organization",""
"app/templates/partials/add-service/step-enter-combined-organisation.html:12","Not on list?",""
"app/templates/partials/add-service/step-enter-combined-organisation.html:17","For example: Canadian Digital Service",""
"app/templates/partials/check/message-too-long.html:6","Message too long",""
"app/templates/partials/check/message-too-long.html:9","Text messages cannot be longer than",""
"app/templates/partials/check/message-too-long.html:9 app/templates/partials/check/message-too-long.html:10","characters.",""
"app/templates/partials/check/message-too-long.html:10","Your message is",""
"app/templates/partials/check/not-allowed-to-send-to.html:2","You cannot send to",""
"app/templates/partials/check/not-allowed-to-send-to.html:4","this email address",""
"app/templates/partials/check/not-allowed-to-send-to.html:4","this phone number",""
"app/templates/partials/check/not-allowed-to-send-to.html:6","these email addresses",""
"app/templates/partials/check/not-allowed-to-send-to.html:6","these phone numbers",""
"app/templates/partials/check/not-allowed-to-send-to.html:10","In trial mode, you can only send to yourself and <a href='{}'>team members</a>. To send to more recipients, <a href='{}'>request to go live</a>.",""
"app/templates/partials/check/sent-previously.html:2","These messages have already been sent today",""
"app/templates/partials/check/sent-previously.html:5","If you need to re-send them, rename the file and upload it again.",""
